Job_Title,Company_Title,Company_Slogan,Job_Type,Location,Work_Location,Industry,Employes_Count,Posted_Ago,Job_Link
"US Business Development Representative (Austin, TX)",Sunstice,Supply Chain Planning and RGM software for global organizations.,Permanent contract,US,A few days at home,"Software, Logistics",120,2 days ago,https://www.welcometothejungle.com/en/companies/futurmaster/jobs/us-business-development-representative-austin-tx_austin
Business Development Representative,Brevo,Customer Relationship Management (CRM) for global organizations.,Permanent contract,Business,A few days at home,"SaaS / Cloud Services, Marketing / Communications",950,5 days ago,https://www.welcometothejungle.com/en/companies/sendinblue/jobs/business-development-representative_austin_BREVO_p5XRJZj
Service Business Manager,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,Service,,Automotive,420,5 days ago,https://www.welcometothejungle.com/en/companies/msx-international/jobs/service-business-manager_dunton
"VP, Business Development - Florida",Descartes Underwriting,Parametric insurance for climate and emerging risks.,Permanent contract,"VP,",Fully-remote,"Artificial Intelligence / Machine Learning, Insurance",250,8 days ago,https://www.welcometothejungle.com/en/companies/descartesunderwriting/jobs/vp-business-development-florida_florida
"Junior Business Scientist, Data Science and Marketing Effectiveness",Ekimetrics,Solutions d'IA pour une performance business durable.,Permanent contract,Junior,A few days at home,"Scientist, Data Science and Marketing Effectiveness",500,9 days ago,https://www.welcometothejungle.com/en/companies/ekimetrics/jobs/junior-business-scientist-data-science-and-marketing-effectiveness_new-york
"Sales and Business Development Manager, ESS",Socomec,Équipements électriques pour la continuité et l'optimisation de l'énergie.,Permanent contract,Sales and,,"Electronics / Telecommunications, SocialTech / GreenTech","4,400",10 days ago,https://www.welcometothejungle.com/en/companies/socomec/jobs/sales-and-business-development-manager-ess_watertown
VIE Business Development - North America,Metroscope,AI solutions for efficient and sustainable industrial asset management.,VIE,Business,Occasional remote,"Software, Artificial Intelligence / Machine Learning",55,16 days ago,https://www.welcometothejungle.com/en/companies/metroscope/jobs/vie-business-development-north-america_alexandria
Director of Global Business Development,Botify,AI-powered platform for optimizing organic search and performance marketing.,Permanent contract,Director of Global,A few days at home,"Software, SaaS / Cloud Services",150,16 days ago,https://www.welcometothejungle.com/en/companies/botify/jobs/director-of-global-business-development_new-york
"Senior Human Resources Business Partner, Southern Region",Hermès,Objets de luxe artisanaux et créatifs.,Permanent contract,Senior Human Resources,,,"26,494",20 days ago,https://www.welcometothejungle.com/en/companies/hermes/jobs/senior-human-resources-business-partner-southern-region_miami_HERMS_w72PjWZ
"AVP, Business Development - Florida",Descartes Underwriting,Parametric insurance for climate and emerging risks.,Permanent contract,"AVP,",Fully-remote,"Artificial Intelligence / Machine Learning, Insurance",250,18 days ago,https://www.welcometothejungle.com/en/companies/descartesunderwriting/jobs/avp-or-vp-business-development_florida
